#E7 Electrical Resonance
#Time:10/10/2017 10:18
#Input voltage:2V
#frequency(Hz)	peak-to-peak voltage(volt)	unc voltage(volt)	y0(volt)	y1(volt)	unc y(volt)
10000	2.30	0.05	2.30	0.15	0.05
11000	2.40	0.05	2.40	0.30	0.05
12000	2.50	0.05	2.50	0.40	0.05
13000	2.55	0.05	2.55	0.40	0.05
14000	2.65	0.05	2.70	0.45	0.05
15000	2.80	0.05	2.80	0.55	0.05
16000	2.95	0.05	2.95	0.60	0.05
17000	3.10	0.05	3.10	0.80	0.05
18000	3.30	0.05	3.30	1.00	0.05
19000	3.55	0.05	3.55	1.20	0.05
20000	3.8	0.1	3.8	1.5	0.1
21000	4.2	0.1	4.2	2.0	0.1
22000	4.6	0.1	4.6	2.5	0.1
23000	5.0	0.1	5.0	3.2	0.1
24000	5.5	0.1	5.5	4.0	0.1
24500	5.7	0.1	5.7	4.4	0.1
25000	6.0	0.1	6.0	4.9	0.1
25500	6.2	0.1	6.2	5.3	0.1
26000	6.3	0.1	6.3	5.8	0.1
26500	6.4	0.1	6.4	6.0	0.1
27000	6.4	0.1	6.4	6.2	0.1
27500	6.3	0.1	6.3	6.3	0.1
28000	6.3	0.1	6.3	6.2	0.1
28500	5.9	0.1	5.9	5.8	0.1
29000	5.7	0.1	5.7	5.4	0.1
30000	5.1	0.1	5.1	4.5	0.1
31000	4.4	0.1	4.4	3.5	0.1
32000	4.0	0.1	4.0	2.8	0.1
33000	3.4	0.1	3.4	2.2	0.1
34000	3.05	0.05	3.05	1.90	0.05
35000	2.75	0.05	2.75	1.50	0.05
36000	2.40	0.05	2.40	1.20	0.05
37000	2.20	0.05	2.20	1.05	0.05
38000	2.00	0.05	2.00	0.90	0.05
39000	1.85	0.05	1.85	0.70	0.05
40000	1.65	0.05	1.65	0.60	0.05
